"site","year","sp","ab"
668,2002,"Hyla_chrysoscelis",2
668,2002,"Pseudotriton_ruber",3
668,2002,"Pseudotriton_ruber",3
668,2002,"Eurycea_chamberlaini",3
668,2002,"Eurycea_chamberlaini",3
668,2002,"Lithobates_catesbieana",3
668,2002,"Lithobates_catesbieana",3
668,2002,"Pseudacris_ornata",4
668,2002,"Pseudacris_ornata",4
668,2002,"Acris_gryllus",5
668,2002,"Acris_gryllus",5
668,2002,"Hyla_gratiosa",6
668,2002,"Hyla_gratiosa",6
668,2002,"Notophthalmus_viridescens",21
668,2002,"Notophthalmus_viridescens",21
668,2002,"Ambystoma_talpoideum",24
668,2002,"Ambystoma_talpoideum",24
668,2002,"Lithobates_clamitans",41
668,2002,"Lithobates_clamitans",41
668,2002,"Lithobates_sphenocephalus",41
668,2002,"Lithobates_sphenocephalus",41
668,2002,"Scaphiopus_holbrooki",508
668,2002,"Scaphiopus_holbrooki",508
668,2002,"Anaxyrus_terrestris",820
668,2002,"Anaxyrus_terrestris",820
668,2002,"Gastrophryne_carolinensis",962
668,2002,"Gastrophryne_carolinensis",962
669,2002,"Ambystoma_opacum",1
669,2002,"Ambystoma_opacum",1
669,2002,"Hyla_cinerea",1
669,2002,"Hyla_cinerea",1
669,2002,"Pseudotriton_ruber",1
669,2002,"Pseudotriton_ruber",1
669,2002,"Eurycea_chamberlaini",1
669,2002,"Eurycea_chamberlaini",1
669,2002,"Hyla_gratiosa",2
669,2002,"Hyla_gratiosa",2
669,2002,"Hyla_squirella",2
669,2002,"Hyla_squirella",2
669,2002,"Hyla_femoralis",2
669,2002,"Hyla_femoralis",2
669,2002,"Eurycea_cirrigera",2
669,2002,"Eurycea_cirrigera",2
669,2002,"Hyla_chrysoscelis",4
669,2002,"Hyla_chrysoscelis",4
669,2002,"Acris_gryllus",5
669,2002,"Acris_gryllus",5
669,2002,"Plethodon_grobmani",6
669,2002,"Plethodon_grobmani",6
669,2002,"Pseudacris_crucifer",8
669,2002,"Pseudacris_crucifer",8
669,2002,"Notophthalmus_viridescens",17
669,2002,"Notophthalmus_viridescens",17
669,2002,"Ambystoma_talpoideum",39
669,2002,"Ambystoma_talpoideum",39
669,2002,"Lithobates_catesbieana",42
669,2002,"Lithobates_catesbieana",42
669,2002,"Lithobates_sphenocephalus",58
669,2002,"Lithobates_sphenocephalus",58
669,2002,"Scaphiopus_holbrooki",92
669,2002,"Scaphiopus_holbrooki",92
669,2002,"Lithobates_clamitans",205
669,2002,"Lithobates_clamitans",205
669,2002,"Gastrophryne_carolinensis",580
669,2002,"Gastrophryne_carolinensis",580
669,2002,"Anaxyrus_terrestris",711
669,2002,"Anaxyrus_terrestris",711
670,2002,"Ambystoma_tigrinum",1
670,2002,"Ambystoma_tigrinum",1
670,2002,"Ambystoma_maculatum",1
670,2002,"Ambystoma_maculatum",1
670,2002,"Hyla_squirella",1
670,2002,"Hyla_squirella",1
670,2002,"Hyla_femoralis",1
670,2002,"Hyla_femoralis",1
670,2002,"Eurycea_cirrigera",1
670,2002,"Eurycea_cirrigera",1
670,2002,"Lithobates_catesbieana",1
670,2002,"Lithobates_catesbieana",1
670,2002,"Pseudotriton_ruber",2
670,2002,"Pseudotriton_ruber",2
670,2002,"Hyla_cinerea",3
670,2002,"Hyla_cinerea",3
670,2002,"Pseudacris_crucifer",4
670,2002,"Pseudacris_crucifer",4
670,2002,"Acris_gryllus",4
670,2002,"Acris_gryllus",4
670,2002,"Eurycea_chamberlaini",5
670,2002,"Eurycea_chamberlaini",5
670,2002,"Notophthalmus_viridescens",6
670,2002,"Notophthalmus_viridescens",6
670,2002,"Plethodon_grobmani",6
670,2002,"Plethodon_grobmani",6
670,2002,"Hyla_chrysoscelis",7
670,2002,"Hyla_chrysoscelis",7
670,2002,"Hyla_gratiosa",13
670,2002,"Hyla_gratiosa",13
670,2002,"Ambystoma_talpoideum",30
670,2002,"Ambystoma_talpoideum",30
670,2002,"Lithobates_clamitans",77
670,2002,"Lithobates_clamitans",77
670,2002,"Lithobates_sphenocephalus",77
670,2002,"Lithobates_sphenocephalus",77
670,2002,"Scaphiopus_holbrooki",216
670,2002,"Scaphiopus_holbrooki",216
670,2002,"Gastrophryne_carolinensis",895
670,2002,"Gastrophryne_carolinensis",895
670,2002,"Anaxyrus_terrestris",920
670,2002,"Anaxyrus_terrestris",920
671,2002,"Hyla_squirella",1
671,2002,"Hyla_squirella",1
671,2002,"Pseudacris_ornata",1
671,2002,"Pseudacris_ornata",1
671,2002,"Eurycea_cirrigera",2
671,2002,"Eurycea_cirrigera",2
671,2002,"Plethodon_grobmani",2
671,2002,"Plethodon_grobmani",2
671,2002,"Hyla_femoralis",3
671,2002,"Hyla_femoralis",3
671,2002,"Eurycea_chamberlaini",3
671,2002,"Eurycea_chamberlaini",3
671,2002,"Ambystoma_opacum",4
671,2002,"Ambystoma_opacum",4
671,2002,"Lithobates_catesbieana",5
671,2002,"Lithobates_catesbieana",5
671,2002,"Acris_gryllus",6
671,2002,"Acris_gryllus",6
671,2002,"Hyla_gratiosa",8
671,2002,"Hyla_gratiosa",8
671,2002,"Notophthalmus_viridescens",9
671,2002,"Notophthalmus_viridescens",9
671,2002,"Ambystoma_talpoideum",22
671,2002,"Ambystoma_talpoideum",22
671,2002,"Lithobates_clamitans",23
671,2002,"Lithobates_clamitans",23
671,2002,"Lithobates_sphenocephalus",25
671,2002,"Lithobates_sphenocephalus",25
671,2002,"Anaxyrus_terrestris",555
671,2002,"Anaxyrus_terrestris",555
671,2002,"Scaphiopus_holbrooki",577
671,2002,"Scaphiopus_holbrooki",577
671,2002,"Gastrophryne_carolinensis",753
671,2002,"Gastrophryne_carolinensis",753
672,2001,"Notophthalmus_viridescens",1
672,2001,"Rana_clamitans",1
672,2001,"Pseudacris_ornata",1
672,2001,"Rana_catesbeiana",3
672,2001,"Rana_utricularia",4
672,2001,"Plethodon_glutinosus",5
672,2001,"Ambystoma_opacum",6
672,2001,"Hyla_versicolor",6
672,2001,"Bufo_americanus",7
672,2001,"Scaphiopus_holbrooki",11
672,2001,"Bufo_terrestris",41
672,2001,"Gastrophryne_carolinensis",42
673,2001,"Hyla_cinerea",1
673,2001,"Pseudacris_ornata",1
673,2001,"Hyla_versicolor",2
673,2001,"Rana_catesbeiana",4
673,2001,"Bufo_americanus",5
673,2001,"Plethodon_glutinosus",13
673,2001,"Rana_utricularia",13
673,2001,"Bufo_terrestris",19
673,2001,"Ambystoma_opacum",22
673,2001,"Scaphiopus_holbrooki",29
673,2001,"Gastrophryne_carolinensis",76
690,1998,"Eleutherodactylus_bransfordii",4
690,1998,"Eleutherodactylus_bransfordii",4
